"","Bmem_A","Bmem_S","Bnav_A","Bnav_S","Bplasma_S","BSph_S","ESph_S","mDC_A","mDC_S","MOcl_A","MOcl_S","MOim_S","MOnc_S","mTregs_A","mTregs_S","NKbri_A","NKbri_S","NKdim_A","NKdim_S","NTph_S","nTregs_A","nTregs_S","pDC_A","pDC_S","T4cm_A","T4cm_S","T4em_A","T4em_S","T4emra_A","T4emra_S","T4nav_A","T4nav_S","T8cm_A","T8cm_S","T8em_A","T8em_S","T8emra_A","T8emra_S","T8nav_A","T8nav_S","Th1_S","Th17_S","Th2_S"
"PHF12",0,1245.25,4082,658.5,0,3556,1612.5,584.75,343,2194.66666666667,3707.75,3374.25,3597,0,2894.75,498,2493,1679.33333333333,1133.25,18441,3378.33333333333,1169.25,1899.5,3170.25,2115,2572.25,0,4233.25,2545.5,1721,1307.75,2677.25,1705.75,2607.25,1503.25,1827,1239,2287,1360.25,1990,1024.25,2545,2944.5
"PHF14",11295.25,10148.5,17688.75,8356.25,10713.5,14674.25,3253.5,8766.5,17083,21156.3333333333,5908.25,16083.5,11807,8391.33333333333,12651.25,11419.6666666667,24458,9697.66666666667,11262.25,7911.75,16591.3333333333,13745.25,4978.75,19766.75,19383,19144.75,19407,15939.75,13877.75,7653.5,16360.5,23125.75,16405.25,12758.75,14775.5,14103,11591.25,15042.75,13772,19868,15452,16547.25,16568
"PHF19",2284.5,511.25,15839.25,304.25,0,0,0,1346.25,1235,0,814.5,1282,586.75,876,313.5,4176.66666666667,148.25,5042.66666666667,1129,4601,17812,0,0,0,26275.5,0,22203.75,0,25762,0,32342,0,5786.5,0,8824,945.25,5569.25,1962.5,23504,0,216.5,0,0
"PHF2",7245.5,7822.25,10020.25,8669,1844.75,14629.5,5780.5,17199.75,22757.25,13191,13657.75,29979.75,33767.5,1525.66666666667,17153,17491,12576.75,9083.33333333333,7133.25,14133.5,16292,15585,8904.25,19398,8734.75,23763,5815,22761,12459.75,10432.25,5261.5,24763.75,6456.5,20883.5,7462.75,15913,8361.25,15855.5,4827.5,21444,16867.5,15542.75,17793.25
"PHF20L1",0,1027.75,2233.75,1127.25,3001.25,2650.75,2116.75,1273.5,5819.5,1907.66666666667,5223,4141.5,3721.25,0,2351,498,5526.75,1996.66666666667,3196.75,7977,1929.33333333333,1558,255.25,4249.5,2453.5,1886.5,1076.75,2122.5,3776.5,1280,2952.5,2681.25,631.75,2191.75,2545,2651.5,1263.25,3754.25,4102.5,3543.75,1551,1813.75,1351.25
"PHF21A",3777,247.5,6630.75,170.75,2603,1945.25,1192.75,0,3712,1912.66666666667,2344.75,4078.75,4551.5,1247.66666666667,1538,2147.33333333333,1418.5,1001.66666666667,1024.5,35595.5,8688.33333333333,934.25,11184.5,4609.25,5310.25,271,4713.5,1189,3351.5,0,2002.75,1169,3604,1285.5,2376.75,1601.25,2465.25,1244.25,1295.5,216.5,1031.25,996,1877.25
"PHF23",16558.75,20521,18882.25,17538,2859.75,10371.5,4425.25,12074.5,22785.5,11723.3333333333,5467,10101.25,19948.75,1972,11736.5,18371.6666666667,14383.5,12943,16093,9581,4278.33333333333,10690,11644.25,18407,12268.75,11698.5,13425,15837.25,10563,5011,21506.75,18996.75,18116.25,13791,16752.75,13124,10624.25,14474.25,17058,20195,18764.5,13683.25,20887
"PHF3",10632,10018.5,18665.5,11446.75,1766,4947.25,4471.25,6628.5,15045,9537.33333333333,5635.75,9306.75,20760.25,1852,15538,11032,14357,9522.66666666667,9061.25,5246.75,20953.6666666667,15128.75,4869.25,15432.5,19618.25,18538.25,25039.5,16958,20842,8498.75,10843.25,20008.5,14302.25,14077,17395.75,15133.75,10846.75,14761.5,11740.5,19317,9147.25,15448.75,13506
"PHF5A",1021629.25,542034.25,1471785,384635.5,471892.75,429838.25,356098.5,782345,771558.25,500529,696606,897993.75,784609.5,214086,572888,550332.666666667,509959,677844.333333333,393060.75,1178072,780552.666666667,410293.5,392484,697018.5,1047586.25,579556,1277507.25,579440.5,855925.25,273487.75,925148,541716.75,820888,502208.75,851087.25,560262.25,566552.75,554528.5,774746.75,541067.75,382426.75,567602.75,705254.25
"PHF6",248307.5,110966,266097.25,51383,34335.75,38434.5,10075.75,94393.25,115926,153498,36481.75,66344,52087,14061,41139.25,142533.666666667,89076,128840.666666667,48536.25,51091.25,283711,49001.25,70887.75,122929,231127.25,41485.25,239634.25,39472.5,184118.5,28555.25,178407,60103,177829.5,37342.75,151773.25,50740.25,89484,49043,195690.5,37870.75,35683,32668.5,38271
"PHF8",14012,6668.5,18740.5,7347.25,5490,8293.25,1084,6591.75,9476.5,3806.66666666667,7958.25,14828.5,18753,3343.33333333333,15645.5,11696.3333333333,11742.5,9759,7772.5,10033.5,27986.3333333333,10669.25,5469.25,8462.75,21618,14149,25381.75,15410,19763.75,4841.5,17073,16462.5,19698.5,13566.25,23334.75,13039.25,11441.5,14610,23440.25,14110.25,9539.25,12222.5,11287.5
"PHGDH",443603.5,68421,401732,8417.25,377590.5,427577,2961,1144631.5,980943.5,884120,913733.5,1094127.25,419999.75,1885,14535.5,150093.666666667,55110,276910.333333333,19537,276898.5,152455,13429.75,221139,419213.5,623082.25,23318,382573.5,21037.25,351733.5,15631.5,739992.25,87248.25,891455,43475.25,316587.5,23983.25,204397.75,11159.5,1101352.75,285466.25,16736.25,31567,48184.5
"PHIP",26742.75,11802.5,30258,16169,5018.25,13624.25,4953,19136,15204,12405.3333333333,9121.25,16073.5,33246.5,4707.66666666667,27313,29526.3333333333,22970.75,35423.3333333333,13301.25,7503,32126.3333333333,21107.25,7763.5,18668.75,38120.5,21445,44546.5,21196.5,32013.5,9226,23459.75,25479.5,29545,20977.5,33042.25,21586.25,21426.25,20957,20433,24262.25,14862.25,19965,15942.25
"PHKA2",9637.25,4239.25,17913.75,2762,1604.75,34614.5,63286.75,18149,17341,17503.3333333333,44314,52695.75,39340.75,0,4092.75,1017.66666666667,7106.75,1078.66666666667,4142.25,49296.75,10696.6666666667,4665.75,6933.75,8435,6760,4540.25,2223.25,5543,3759.5,2651.25,2569,5559.5,2325.25,4716.5,2201.5,5521.5,1236.75,5760.75,2941,7583,5884,4043,4090.25
"PHKB",9554.25,7197.5,16171.5,3198,795.5,19762.25,35234.75,12475,21853.75,21142.6666666667,40025,72586.75,37286.75,2054.66666666667,5765.75,9107.33333333333,12790.25,4288.33333333333,6770.5,100718.25,10779.3333333333,6920.75,9896.5,22432,9277.5,6911.25,6863.25,7511.25,4433,3450.5,8815.75,7156.5,7291.75,7336.75,8230,11690,3549.5,12446,7541.75,12073,6917.5,5661,5487.25
"PHKG2",26781.25,11409.25,36950.5,6429.5,5082.5,73123.5,82418,31463.75,44696.25,57147,88496.25,94336,64113.5,0,20510.5,11238.6666666667,20868.5,10120.6666666667,10541.5,650968,23978,11335.75,16612.5,32121.75,32046,15135.25,33197.25,14353.25,17034,11376.75,17098.5,10494.75,21919.5,11558.5,25173.75,11542.5,10725.75,18138,22337.75,15505.5,9911.5,15054.25,13812.5
"PHLDA1",0,0,0,0,0,896.75,0,0,0,0,0,1352,0,0,0,0,0,9798.66666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,496,0,0
"PHLDB2",957.75,532.5,11433.25,97.5,0,684.25,1558.5,0,849.75,0,420.75,0,1497.5,0,669.75,0,269,1052.66666666667,2850.5,3283,0,273.25,0,879.75,0,675.25,0,352.75,0,153.75,0,0,0,402.5,142.75,749.5,489.5,785.75,548,377.75,249.75,189,1085.25
"PHOSPHO1",4071.75,0,15321.75,174.5,3130.75,0,23148.5,7316.5,903.25,12774.6666666667,137.25,0,0,1506.66666666667,0,660.333333333333,0,0,385.75,25479.5,0,0,11547,0,2369.75,0,995.25,0,0,0,1687.25,0,6554.5,0,631.25,0,1864.25,0,102.5,0,478.75,0,0
"PHOX2B",25432.25,0,165435.75,0,16627.5,7790.5,47189.5,0,81533.75,40782.6666666667,0,0,26444.5,0,0,8744,22751.5,0,33892,108170.25,0,35130.75,53923,5529,31597,12154,10711.5,21557.75,7289,18856.25,26294.75,0,13607.75,0,0,25933.25,0,53026.5,0,8337,32119,0,21237
"PHPT1",229017.5,167250.5,379017.75,90321.5,521758.75,136503.5,181785,395185,505764,439939.666666667,304798,806739.75,272852.75,56383.6666666667,118370,97705.3333333333,87537.75,76687,125683,1197603.25,279365.666666667,115209.75,231543,320628.5,281029,80704.75,431303,72209.5,272472,210917.75,133273.5,71518.5,123022.25,77245.25,115508.25,95949,67813.75,115605.25,94383,76079.75,124261.75,61317.25,305735.75
"PHRF1",5260.75,6617.25,6993.75,4869.75,670.75,4578.25,5073.75,4303.75,5172.75,27603.3333333333,5630.5,14262.25,9431.25,464.666666666667,4719.25,4086,6926.75,3728,4420.25,29941,5615,3996.5,2717,3171.5,5330.25,3576.5,8360.25,3282,5465,2648.5,4200.25,5031.5,4509.75,4839.25,3744.75,6350.5,4010.75,5991,4180.5,5709.25,4451.5,3990,4345.25
"PHYHD1",0,544.25,0,0,946.5,0,3390.75,4801.5,7988,0,5107,15385.25,3801,0,1039.5,0,370.75,0,1349.25,0,0,384.25,5770.75,11877.5,837,0,0,0,827.5,0,636.75,0,1583.5,0,1563.5,456.25,0,727.25,1295,1097.25,0,0,0
"PHYKPL",41199.5,43856.75,40819,12228,3728.75,19038.25,13113,36081.75,14476,24992,17636.25,94285.75,57239.5,24966.6666666667,9071.25,14406.6666666667,29308.5,3293.66666666667,12604,55904.25,34004,14669.5,65115,80199,13154.75,34628.25,28043.25,18011.25,9170.25,11032,14239,37278.5,26273.75,27992.5,10028.75,31770,2508.5,31615,16040.5,39472.5,26251,21177.5,40625
"PI16",0,183.75,0,0,4328.25,220.25,170.25,0,229,0,0,807.5,0,5909.33333333333,25164.5,967.333333333333,6865,0,388.25,0,0,3874.75,345.5,0,0,4361,828,6133.5,0,4319.5,0,743.5,795.25,6556.5,0,4181.5,1060,312.5,0,413.75,3300.5,10083.25,8973.75
"PI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15310,0,0,0,0,0,4476.75,0,0,0,0,0,0,0,0,0,1925.25,0,0,0,0,0,0
"PI4K2A",46113.25,26540.25,76178.75,18844,5028.25,4307.5,11529,128593.5,62150,60876.3333333333,91988.75,188893.25,236673,0,15559.75,20829.6666666667,31867,27593,45547.25,5331.5,12172,8594.5,17916,36391.75,15520.75,8943,34374.25,9335.25,18271.75,8457.25,8091.75,9920,14877.75,12123,14581.5,21139.5,16860.75,28089.75,15647.5,8628.25,7422.5,13082.5,17280.25
"PI4K2B",13508.25,5212,12798.5,4030.75,1239,6848.25,432.75,27924,17115.25,864.333333333333,8677.5,12230,21967.75,0,4333.75,11836.6666666667,4421.75,7435.66666666667,11719.75,0,13564.6666666667,1804,59718.25,25618.25,14189.25,4140.25,12680.25,6481.5,11335.75,1235,15036.25,2157.25,22391,11918.5,14081.25,9121.75,7054,6469,15074,6331.75,2049.25,4824.25,3350.75
"PI4KA",39481.5,17102,55782,16950.25,1033.75,42410.5,20251,18380.75,34790.25,30652.3333333333,65216.5,85590.25,80764,770.333333333333,14819.75,34240.3333333333,26675.5,24475,13398.75,18069.25,27881.6666666667,7652.25,22666.75,58126.25,25377.75,16526.75,35211.25,20598.75,21206.75,5154.75,25308,12750.75,14737.25,14336.25,22672.75,17838.75,10479,20174.25,20590.75,15406,9164.25,19017.75,12519
"PI4KB",43216.25,5741.25,48455.5,4979.75,1513,6504.75,8116.25,29318,41134.25,14705.3333333333,15119.25,25838.75,24277,5784.66666666667,6711.5,10808.3333333333,6958.75,13600.6666666667,4626.5,5666,23907.6666666667,7124.75,15179.25,13438.5,33617.25,6893.25,32674.25,6429,31275.5,7304.25,12264.75,5584,12959.25,6004.5,12077.75,5193.5,9950,9078.25,8468.75,3716.25,4517.25,6325.25,6374.25
"PIAS1",5750.75,5322.5,6976.5,3622.25,0,3866,3028.25,6031.25,4498,0,6336.75,8727.25,9762.75,0,6672.5,3762,5116.5,3716.66666666667,2997,0,6189,5037.75,1402.75,6707.75,9280.25,6289.5,12070,6167.75,11288.25,1457.5,8689.25,7166.5,5748,6098.75,10386.25,5268.75,3796,6445.75,11978.25,5137.75,2176.75,5539,4602.75
"PIAS4",10185.75,1769,10935,1401.5,0,979.5,0,6059,4956,10623.3333333333,0,3491.75,5156.75,0,4844,9540,4193.5,9816,2051,36994.75,9297,1987,6842.5,5158,7497.5,2719.75,7386,4230.5,6865,373,10303.5,1904.5,8897.25,2565.5,7385.5,4236.5,4090,4114.5,7242,1687.5,3365,1414.5,5272.5
"PIBF1",4468.5,3280.75,6451.25,2954.5,4425.75,2990.75,3052.5,5078.75,3735.25,2082.33333333333,5958.5,11576.75,3606,6581.33333333333,2132.5,2464.33333333333,2723,3044.33333333333,1571.75,8923,7284,4615.25,3886.25,3233.5,9404,5023,7769.25,3128.5,6657.75,5588.25,6174.25,3889.5,5935.5,4667,4915.75,2266,2730.75,4358.5,5384.75,2751.25,2422.25,3766.5,4575
"PICALM",137537.75,71673.75,189156.75,51104.5,103847.5,144988,84167,361839.5,395039.75,491914,351463.75,690791,469474.25,35144.3333333333,62982,106927,103586.5,78670,85936.25,204127.75,156123,56295.75,179008,154309.75,149610.75,42970,146758.5,61551.75,128547.5,80164.75,59049,33189.25,102590.75,54948.75,61625.25,73813.5,35469.25,93059.75,45573.75,34004.75,67078.75,49081,51569.75
"PID1",4480.5,0,8351,1926,430.25,1768.25,0,2260.25,19181.25,36720,11368.25,63008.25,21877,0,1409.75,1689,2019.25,0,2526.5,5874,3454,2507.75,1342.25,0,3189,0,11173,0,1238,278.5,787,1601.5,4561,1973,0,291.75,0,2660,679.5,277.75,0,1935.75,2013.25
"PIGG",1199,525,6021.5,573.5,0,2442,101.25,948.5,3689,5591,4371.75,8967,6378.5,2213.33333333333,3025.25,3998,4873.5,3182,932.75,0,2701,1454.5,5249.5,13884.5,2519.75,1706.25,2972.5,1544,2670,10522,885.5,486.75,2419,1506.5,1515.25,1613.75,371.5,1483.75,1339.75,1265.5,1248.5,1524.75,1209.5
"PIGK",3433.75,7843.75,8753.25,8499,7935.25,13897.5,10865.25,15310.5,72754,34206,65591,64318.5,72110.75,1817,31225.75,15317.6666666667,50434.5,33772.3333333333,32008.25,117445.25,11779.3333333333,26633.75,37181.75,88762,16140.75,22387.5,27627,20246.75,21818.5,15153,8906.25,23161.5,17415.25,19437.5,18694.75,29549.25,18940,33697,9563,23840.75,16228.5,18063.25,16378.75
"PIGN",5681.75,11925.5,0,9143.5,19848.75,6155.75,375.25,419.25,6963.75,0,3931,47807.5,6352.5,5188,4614.5,17901,4665.25,2686,2281.25,18345.5,8099.33333333333,3389.75,2863,6628.25,797.5,8962.25,1476,5988.5,8067.25,10463.75,828,2812.75,22866.5,1730.25,26781.75,1978.5,0,249.5,13059,2327,3752,720.25,1466.25
"PIGO",1914.75,1649,2116,1678,2135.75,4237,712,377.75,8785.5,7404.66666666667,5243,23174.75,23580.75,830.666666666667,4698.75,2679.33333333333,4894.5,2213.33333333333,4030.75,0,1253.66666666667,3167.5,4529.75,14614.5,2307,6173.5,0,8503,0,3185.5,0,6044.25,1385.25,7360,1779.75,7779.5,1494.75,6587.75,444.75,5722.75,4000.25,7599.75,6831.5
"PIGQ",693.75,1271,0,636,0,968,1479.25,2708,2364.25,1253.33333333333,2679,7793.25,10245,599.333333333333,2725.75,3054.33333333333,2236.5,3999.66666666667,1401.75,11883.75,3109.33333333333,1688.75,2716,5317.75,1967.25,1014.25,757,674.25,2094.5,369,4773.5,658,4165,2066.25,2161.75,1607.5,2369.5,2706.75,1128.75,1465.75,1586,1963.5,1017.25
"PIGR",6567.75,0,4175.75,1755.75,1020.75,2135,0,0,2406.25,803,8365.75,1132,3938.75,719.333333333333,690.5,5457,501.25,8040,1187.75,42806,9826.33333333333,53481,0,0,0,0,1065.75,1340.25,4803.75,3389.25,2585,1795.5,3846.75,375.5,829.75,0,4216.25,0,3199.25,0,2670.75,23650.75,1871.75
"PIGS",29138.25,14099,28051,12394,27491.75,39880.5,46436.25,114693.5,133341.75,87287.6666666667,142055.75,143788.25,192964.5,19560.6666666667,65748.25,87303.6666666667,114513.5,86785.3333333333,70669.25,62093.5,74572,50314.25,128349.25,213684.75,64128.25,56738.25,75825.5,57848,58431,31374.5,47935,58062.25,40183.5,49678.75,53861.5,62639,46476.5,79653.75,45329,58275.25,38173.25,62675.75,65778
"PIGT",17716.5,8807.5,16108.25,4803.25,3614.25,19892.25,30606.75,43741.25,71509.25,30718.6666666667,87721.25,87055.5,119377,5249.66666666667,42991,54803,49166,70756.3333333333,29724.5,409185.25,35979.3333333333,26378.5,59750.5,119722,47724,56460.25,62620,51097,41358.75,18192.25,28821.75,59301.5,43747.5,38942.5,51620,38613.25,34155.5,35957.5,26848.25,47723.25,22577.75,50722.5,40578
"PIGU",11731.75,7744.25,13916.25,5526.25,0,5824.75,4877.5,17028.25,49379.5,8749.66666666667,60921.75,55241.25,90995.25,1423.33333333333,41260.75,33743,43039.5,28031.3333333333,24587.25,5563.5,16075.6666666667,18667.5,19617,78125.25,16536.25,49451.75,18568.25,45359.5,22721.25,13414.75,19743.25,48682.25,32247.75,23476.5,35792.5,37230.5,19872.25,43829,24466.25,34272,21743.5,43695.5,33949.25
"PIGX",0,345.5,0,479.5,0,3279,2861.5,0,1673.75,0,9536,0,21011.75,0,4704,0,9552.75,0,3963.5,0,0,1667.5,2422.5,10561.5,0,6464,0,6006,2572.5,0,3312.75,5848.5,4884.75,4764,0,3033.25,0,4816.75,0,3173.5,1132.75,5935.25,6385.5
"PIH1D1",85779.75,37799,121706.75,19316.75,15031.5,9622,15886,37484,59040,12923.3333333333,41657,88641.25,83170,7618,27218.5,42220.3333333333,26161.25,38631.6666666667,19086.75,25177.5,91442,22341.25,21868.5,56049.25,83114.25,31794,107201.75,33417.25,72054.75,15820.5,86779.25,23688.75,74431.5,23758.25,59440.5,28862.75,36111.25,25154.75,64622.25,41471.75,24897,27608.5,40943.5
"PIK3AP1",151473,101649.5,178240,62621.5,3430.75,45461.75,21604,53257.25,63126.25,202504,96906.75,329978.75,631075,51256.3333333333,1322.5,91560.3333333333,8873.75,28905.3333333333,6315,120441.25,104.333333333333,411.75,58311.25,61124.25,2135.5,674.75,233.25,526.25,9075,1854.5,280,673.5,824,763,1596,9035.75,1327.75,12786.25,2543.75,1067.75,488.25,1001,295
"PIK3C2A",4208.25,1194.25,2822,3824.75,3291.75,3137.5,7582,4562,6912.25,9429.66666666667,9879.25,7880.25,9033.5,0,1897.75,2621,1859.75,2240,1372.5,57631,3079,1175.25,3258.25,2543.25,3539.5,1491.5,5145.75,2913.5,4186.25,1002.25,2323.5,2189.75,4449.25,4129.25,3885.5,1726.25,1234.5,2682.25,2116.25,539.5,1806.75,2203.5,13707.75
"PIK3C2B",32074.25,17239.25,60960.75,21528.5,197.75,2163,3792.5,10532.75,4891.75,169.333333333333,2876.75,2082.25,1252.75,8373.66666666667,4084.5,3077.33333333333,5459.75,1521.33333333333,2679.75,12262,551,2574,6250.75,42263.75,2536.5,3807.25,3850.5,7668.5,2669,5795.75,2705.75,1975,5591.75,3756.5,3887.75,3714.25,1098.75,3506.25,3462.75,1861.25,2733,7016.5,3320
"PIK3C3",61310.5,38301.25,69195.75,29407,72219.5,62014.75,28485.25,61350.5,81633.75,54116.6666666667,56220.5,113900.5,77110.75,7504.66666666667,25578.75,13025.3333333333,28146.75,20728.6666666667,24214.25,68796.25,36701.6666666667,27489,39774.75,81464,41971.75,28065.75,46107.5,31061.25,40807.25,19222,31779.25,21411.25,34299.5,22322.5,26711.25,31816.75,25431.75,28251.75,25844.75,34464.75,19315.25,25550,28618.5
"PIK3CA",8712.75,4081,16362.25,2654.25,46146.25,26289.25,0,13342.75,18566.5,6278.66666666667,15725,7665.5,8108,403.333333333333,14870.25,3667.66666666667,13287.25,23258,10789.5,7281.75,19672,6667.25,236.5,1488.75,10303.5,18021,10460.75,15613.25,24185.5,9340.75,5454,12488,922,13381.75,20385,14660,30618.25,14917.75,15502.5,14252.25,24716.5,14892.75,6452.5
"PIK3CB",4193.75,872,1948.5,831.5,2558.75,24036.75,24246,2147.25,7964,4361.33333333333,9522.5,17025,8080.5,1192.33333333333,4239,1836,1731.5,258.333333333333,1566.75,9976,4726,5923.5,1863.5,1514,4455,12233,3071.5,8321,3428.25,2196.25,2264.5,8207,1491,7416.75,2622.75,5564.25,994.5,2881.25,1382,7941.5,7652.25,7664,9065.25
"PIK3CD",100550.25,34301,163125,23332.75,5217.75,67840.5,55339,54418.5,84778.5,58580.6666666667,83791.75,144604.25,97198.5,11575.6666666667,85130.25,107600.333333333,179288.25,73035.6666666667,90449.75,71810,119468,79588,60729.5,108695.5,94987.25,134748.25,97367,123633.25,81683.75,68664,73390,120263,86552.75,119245,81903.75,119397.75,52853,136559.75,80839.5,146582.25,87681,111303.25,105026
"PIK3CG",38428.75,3933.5,35707.25,2894.5,7881,51415.75,70735.5,21421.5,44142,8436,17378.75,63893.25,94563,0,7743.25,23118,20663.25,18468.6666666667,20744.75,16058.5,4683.66666666667,5404.75,52961.75,90306,10576.75,6140,6574.5,9185.25,12628.25,8803.75,11859.75,3912.75,6430.5,8678.75,12444.75,13101.75,14642.5,25071,13132.5,6507.75,4506,10847.75,6878.5
"PIK3IP1",0,0,0,2254.25,2802.5,39331.25,1647.5,0,1433,0,1336,0,1978.5,0,11416,0,5309.25,0,1275,0,4014.33333333333,11550.75,0,486,0,9537.25,0,5940,0,4780.25,2600.25,4591.75,0,3998.5,1953.5,2790.5,1721.25,16783.5,4850.5,8679,8564.25,7599.5,6633.25
"PIK3R1",111397,81843.75,193704.5,52232.5,16626.75,237149,182738.5,106276.25,154269.75,129652.666666667,141715.75,297075.5,153056.75,44479.6666666667,127938.5,147137,217791.75,102818.333333333,124980.25,636723.75,162147.333333333,155292.75,83640.5,154786.5,102728.25,196083.25,132390.5,169140.75,117607.75,161890,81785.5,163115.5,93707.25,163473,88390.5,184335,75783,195545.5,86215.5,149887.25,118898,156660.25,223064
"PIK3R2",3522,1800,4999.25,303.5,0,1097.25,1914.5,1965.75,2421,1284.33333333333,1598.5,7055,4116.75,0,1377.5,594.333333333333,1563.5,885,1443.75,4360.25,3372.33333333333,152,1049.75,1166.25,2750.5,648.5,4400.75,822.25,2486.75,1927.75,2534.75,1087.25,2658,1012.5,1779.25,2173,1009.75,1810.75,2015.75,823.5,531,1159,836.25
"PIK3R4",61560.75,30951.5,77399.5,24521.25,4906.75,20362,21687.25,63434.25,75123.25,45922.3333333333,45934,127907,86342.5,946,22114.75,37130.3333333333,24054.5,26680,28736.5,53169.5,48468.6666666667,18856,54710.5,82731,40682,21812.25,54245.75,26201.75,44971.25,15673.75,35196.5,17822.25,41677.75,22917,38371.25,23294,20198.25,27986.75,37758.25,20877.5,17577.25,21536.75,20653
"PIK3R5",2360.75,192,653,200.25,1278.75,523.5,1345.75,12225,8741.25,3845.66666666667,2927.75,20621.75,19710.75,0,1331.5,1856,2278.5,363,3924.25,10765.75,1093.66666666667,870.75,47049.5,46610,861.5,351.75,0,1277.75,599.75,2287.75,1884.75,334.25,4598.25,1549.25,628.5,2035.75,1683.75,3421.25,1548,1611.25,1876.25,805.25,833.25
"PIK3R6",1510.5,438,0,0,511.25,27631.5,90450.5,275,2413,0,2437.75,5344.25,1221.5,0,3209.5,2425.33333333333,652,240.666666666667,238.5,35294.25,231.666666666667,2428,343.5,1917.5,860,1918,849.5,586.5,1950.75,1288.5,1066.25,2256.5,621.25,3769.5,4779.75,4644,889,3106.5,1050.5,2460.25,4724,1594.75,5399.25
"PIKFYVE",38676.5,10260.25,67163.25,1877.25,2185,5023.75,1415.75,6946.25,6447.75,3804,4812.25,7599.75,6191.25,4424.33333333333,1591,2101.33333333333,4614.5,775,933.25,8845,2947,1007.5,2173.25,8172,4322,1634.75,2342.75,4019.75,2704.25,888.5,2390.75,1367,1332.25,1391.75,3213.25,1564.75,466.5,3704.25,2656,2181.75,652.75,3312,1635.25
"PILRA",0,0,0,0,0,24840.25,5038.75,3163.75,2811.75,80546,45341.75,44684.5,80879,1358.66666666667,283.25,0,4770,0,1307.75,245442,0,0,0,0,0,0,0,1433,0,0,0,4601.25,0,0,0,0,0,0,0,0,0,3016.75,3516.75
